L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Hardware,XIM: Host machine in EP Lab in Heart Center NIC faulty,XIM: Host machine in EP Lab in Heart Center NIC faulty,,,
Hardware,ISP INTERMITTENT DOWN STATUS...PLEASE REVIEW LOGS FROM 3/15 - 3/16 FOR POSSIBLE ERROR...THANK YOU...,ISP INTERMITTENT DOWN STATUS,,,
Hardware,THE WORKSTATION DOES NOT BURN STUDIES.,Working does not burn studies.,,,
Hardware,SA:05R/IntelliSpace IX/LX Workstations/Can't burn,SA:05R/IntelliSpace IX/LX Workstations/Can't burn,,,
Hardware,"Question: Email from Michael Hauke / Senior Technical Consultant / Team Lead ICAP & DCP
Issue: Malfunction
Description of malfunction: 
Adjustment of the AutoQuant version to 2017 on the ISP server",Adaptation of the Autoquant version to 2017 on the ISP Serve,,,
Hardware,Failure when recording to CD and DVD,Failure on CD and DVD record,,,
Hardware,DVD writer not functioning,DVD writer not functioning,,,
Hardware,The burner needs to be changed since sometimes it does not work and the bottom part needs to be pressed to make it work.,Change of burner of the employment.,,,
Hardware,ISP CD writer not functioning,ISP CD writer not functioning,,,
Hardware,"Good morning
When opening ISP, the program starts and after inserting user and password, the initial page of the program opens, but it blocks during loading. The hourglass starts turning and it is impossible to close the program.
Carried out checks, the network is ok, the server is reachable, ping OK. On a client it was uninstalled and installed ex novo ISP after the download but it shows the same problem.
An urgent intervention is needed because they are blocked.

Greetings",ISP system not working,,,
Hardware,CD writer is not functioning,CD writer is not functioning,,,
Hardware,"The workstation does not turn on, it does not load the examination visualization program.",Non si accende la workstation,,,
Hardware,"Reported problem: RAM memory is collapsing.
When did the failure happen? Immediately
When will the equipment be available for intervention? What is the best day or time?: As soon as 
Was the equipment in clinical use when the failure occurred?: They don't know it",Ram memory is collapsing,,,
Hardware,will don't function when logging in launching marauda,will don't function when logging in launching marauda,,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,Server uptime check,Server uptime check,,,
Hardware,Issue with CT Portal,Issue with CT Portal,,,
Hardware,05L/Upgrades IntelliSpace IX/LX WrkStns/DVD record setting failed,05L/Upgrades IntelliSpace IX/LX WrkStns/DVD record setting failed,,,
Hardware,WeChat?01/WeChat?01/IntelliSpace IX/LX Workstations/print,WeChat?01/WeChat?01/IntelliSpace IX/LX Workstations/print,,,
Hardware,05R/Extended Brilliance Workspace/ DVD fault,05R/Extended Brilliance Workspace/ DVD fault,,,
Hardware,05R/IntelliSpace IX/LX Workstations/Rebuild fault,05R/IntelliSpace IX/LX Workstations/Rebuild fault,,,
Hardware,Workstation keyboard and mouse not functioning,Workstation keyboard and mouse not functioning,,,
Hardware,I open a case following WO-07978941 and WO-07978939 as they were opened on the CT scan instead of on ISP.,Not working mouse and keyboard,,,
Hardware,SA:02N/IntelliSpace IX/LX Workstations/Workstation failure,SA:02N/IntelliSpace IX/LX Workstations/Workstation failure,,,
Hardware,"Good morning
When one tries to print the report in pdf format coming from pixyl node, the print comes out blank. If, instead, the file is first saved on the location, and then printed, it comes out correctly. Is it possible to check the reason why direct printing does not work without having to save the file?

Kind regards

Clinic Villa Margherita
CED",PDF printing from ISP,,,
Hardware,into,ISP12: Update the Content of Detailed IVT Report,,,
Hardware,It does not recognize the USB entries in the front of the computer,NO recognizes the USB front inputs of the CPU,,,
Hardware,"OT338492 - The portal does not work with control from home, after the update was done.
Location: The entire Hospital that can access from home.","OT338492 - The portal does not work with control from home, after the update was made.",,,
Hardware,Server Uptime Check,Server Uptime Check,,,
Hardware,05R/Brilliance Workspace Portal/Power fail,05R/Brilliance Workspace Portal/Power fail,,,
Hardware,05R/Extended Brilliance Workspace/ mouse and keyboard fault,05R/Extended Brilliance Workspace/ mouse and keyboard fault,,,
Hardware,02G/IntelliSpace IX/LX Workstations/print,02G/IntelliSpace IX/LX Workstations/print,,,
Hardware,05R/Extended Brilliance Workspace/display card,05R/Extended Brilliance Workspace/display card,,,
Hardware,SA:01/IntelliSpace Portal Solutions/Installation workstation,SA:01/IntelliSpace Portal Solutions/Installation workstation,,,
Hardware,Clint pc and server is not functioning,Clint pc and server is not functioning,,,
Hardware,"After physically being used by the ISP server by the customer, there are some functions that do not work anymore.",After the physical house of the ISP server by the customer there are some functionality who no longer works,,,
Hardware,CD writer is not functioning,CD writer is not functioning,,,
Hardware,ISP is not functioning,ISP is not functioning,,,
Hardware,It is not able to record the exams,You are not able to record the exams,,,
Hardware,WeChat?05R/Extended Brilliance Workspace/transfer,WeChat?05R/Extended Brilliance Workspace/transfer,,,
Hardware,ISP SYSTEM IS NOT GETTING ON,ISP SYSTEM IS NOT GETTING ON,,,
Hardware,damage in the HP monitor,damage in the HP monitor,,,
Hardware,05R/IntelliSpace IX/LX Workstations/Workstation failure,05R/IntelliSpace IX/LX Workstations/Workstation failure,,,
Hardware,Call 24x7 - The reports are not divided,Call 24x7 - The reports are not divided,,,
Hardware,Declaration of ILO card + internal USB for upgrade V12,d?claration carte ILO + internal USB pour upgrade V12,,,
Hardware,ISP CD writer is not functioning,ISP CD writer is not functioning,,,
Hardware,"In some breast reports, it cannot process the curve in the injury. 
La Luz Clinical Hospital, Ground Floor, Radiology 

Failure: immediately, it has been like this for a few days. 
Intervention
Clinical use - No","In some breast reports, you cannot process the curve in the lesion (intervention as soon as possible*)",,,
Hardware,"Issue: Malfunction
Error description: for case 0121341724 closed 
Technical problem. Acceptance: During the burning process, possibly Dicom viewer is not burned along. Acceptance Windows 10 is not compatible.
Contact tel. +491775943570 time Thursday around 12:00 hrs. Request for call-+491775943570.
Email praxismanager@nuklearmedizinbamberg.de",Browned CDs cannot be used.,,,
Hardware,into,ISP12 CT CS Sometimes the Findings in the Reports show the text 'Score' instead of the required value,,,
Hardware,Wechat:05R/Extended Brilliance Workspace/Can't burn,Wechat:05R/Extended Brilliance Workspace/Can't burn,,,
Hardware,Wechat:05R/IntelliSpace Portal Solutions/need parts,Wechat:05R/IntelliSpace Portal Solutions/need parts,,,
Hardware,01/Extended Brilliance Workspace/crash,01/Extended Brilliance Workspace/crash,,,
Hardware,Wechat:05R/IntelliSpace Portal Solutions/The computer cannot be turned on,Wechat:05R/IntelliSpace Portal Solutions/The computer cannot be turned on,,,
Hardware,Wechat:01/IntelliSpace IX/LX Workstations/Need to view IP address,Wechat:01/IntelliSpace IX/LX Workstations/Need to view IP address,,,
Hardware,Workstation locked,Workstation travada,,,
Hardware,05K/IntelliSpace Portal Solutions/replace mouse,05K/IntelliSpace Portal Solutions/replace mouse,,,
Hardware,ISP system DVD writer is not functioning,ISP system DVD writer is not functioning,,,
Hardware,ISP Mouse is not functioning,ISP Mouse is not functioning,,,
Hardware,Mouse is not functioning in Workstation system,Mouse is not functioning in Workstation system,,,
Hardware,02N/IntelliSpace IX/LX WorkstationsFrequent jamming of ISP film production,02N/IntelliSpace IX/LX WorkstationsFrequent jamming of ISP film production,,,
Hardware,Wechat:SA:05R/IntelliSpace IX/LX Workstations/MM viewer integration issues,Wechat:SA:05R/IntelliSpace IX/LX Workstations/MM viewer integration issues,,,
Hardware,Wechat?01/IntelliSpace IX/LX Workstations,Wechat?01/IntelliSpace IX/LX Workstations,,,
Hardware,Relocation of ISP,Relocation of ISP,,,
Hardware,Wechat:05R/IntelliSpace IX/LX Workstations/Screen fault,Wechat:05R/IntelliSpace IX/LX Workstations/Screen fault,,,
Hardware,01/Intellispace Portal IX/The post processing workstation cannot print films,01/Intellispace Portal IX/The post processing workstation cannot print films,,,
Hardware,01/IntelliSpace IX/LX Workstations/equipment failure,01/IntelliSpace IX/LX Workstations/equipment failure,,,
Hardware,DVD writer not functioning,DVD writer not functioning,,,
Hardware,Down since last Thursday since power outage,Down since last Thursday since power outage,,,
Hardware,02N/IntelliSpace IX/LX Workstations/DVD recoder failed,02N/IntelliSpace IX/LX Workstations/DVD recoder failed,,,
Hardware,Wechat:01/IntelliSpace IX/LX Workstatio,Wechat:01/IntelliSpace IX/LX Workstatio,,,
Hardware,02N/IntelliSpace Portal Solutions/Add new account,02N/IntelliSpace Portal Solutions/Add new account,,,
Hardware,01/IntelliSpace Portal Solutions/add printer,01/IntelliSpace Portal Solutions/add printer,,,
Hardware,CPD3 stopped.,CPD3 stop,,,
Hardware,"The following workstations are in Cardiology
The Cardiologists use them.
I am sending you the IP of the computers where we had the Portal installed and in which, after the new update, we cannot access the application.

  10.139.39.29

 10.139.39.14

 10.139.39.13

 10.139.39.18

  10.139.39.27

  10.139.39.70

Dr. Revilla is the one who gave me the notice.
If you have any questions or clarifications, please contact her.
Thanks a lot",Work stations without access to the new Iportal,,,
Hardware,ISP server not working,ISP server not working,,,
Hardware,"Issue: Malfunction
Error description: The customer is currently having increasing ISP problems again, can you please look at the servers?
See image.
Error occurred on: 28.03.2023",ISP Problem,,,
Hardware,Application/IntelliSpace IX/LX Workstations,Application/IntelliSpace IX/LX Workstations,,,
Hardware,Workstation movement. Remove from the technical command room to the report room,Workstation move. Remove from the tony command room to the reports room,,,
Hardware,THE DISK BURNER DOES NOT WORK,NO TRABAJA EL QUEMADOR DE DISCOS,,,
Hardware,01/IntelliSpace IX/LX Workstations/add printer,01/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,05K/IntelliSpace IX/LX Workstations/cannot print,05K/IntelliSpace IX/LX Workstations/cannot print,,,
Hardware,01/IntelliSpace IX/LX Workstations/Customer consultation,01/IntelliSpace IX/LX Workstations/Customer consultation,,,
Hardware,05R/Brilliance Workspace Portal/OPTICAL DRIVE failure,05R/Brilliance Workspace Portal/????,,,
Hardware,DVD writer not functioning,DVD writer not functioning,,,
Hardware,Monitor will not remain on,0902CDT70S09 Monitor will not remain on,,,
Hardware,"The Doctor cannot open the Portal.
Location: X-Rays, Semi-basement, General Residence

Failure: today
Intervention as soon as possible
Clinical use - Yes",Dr. cannot open the portal,,,
Hardware,"Issue with server, keep having to reboot.","Issue with server, keep having to reboot.",,,
Hardware,Dynacad  auto processing failed,Dynacad  auto processing failed,,,
Hardware,when trying to copy cds says unable to write the disk,when trying to copy cds says unable to write the disk,,,
Hardware,Will not process,Will not process,,,
Hardware,CD printing problem,CD writing problem,,,
Hardware,Comp. application Cardiac Analysis shows all the same phases of the Cardiac CT. It is not possible to differentiate each phase,Comp application. Cardiac Analysis shows all the equal phases of CT cardiac. It is not possible to differentiate ...,,,
Hardware,"AVA - in carotid angio when segmenting bone, the vertebral arteries appear peaked, occurring in all patients.","Ava ? In Angio de Bosseed when performing the segment of the bone, the vertebral articles appear performed, occurring ...",,,
Hardware,Install a printer,Install a printer,,,
Hardware,VIP-IMSS-PHILIPS-HARD DISK NO. NEEDS TO BE CHANGED. 459800370502,VIP-IMSS-PHILIPS-REQUIRE HOSE DISC CHANGE NO. 459800370502,,,
Hardware,Wechat:SA:05R/IntelliSpace IX/LX Workstations/driver broken,Wechat:SA:05R/IntelliSpace IX/LX Workstations/driver broken,,,
Hardware,Wechat:05R/Portal/disk error,Wechat:05R/Portal/disk error,,,
Hardware,05L/IntelliSpace IX/LX Workstations/can't burn,05L/IntelliSpace IX/LX Workstations/can not burn,,,
Hardware,ISP system is slow,ISP system is slow,,,
Hardware,Saving series to remote device PACS does not work,Save series to Remote Device Pacs does not work,,,
Hardware,01/IntelliSpace IX/LX Workstations/Mouse fault,01/IntelliSpace IX/LX Workstations/Mouse fault,,,
Hardware,05R/Extended Brilliance Workspace/DVD burner fault,05R/Extended Brilliance Workspace/DVD burner fault,,,
Hardware,"It does not read the inserted CD, it does not work.",Burner not working,,,
Hardware,"The workstation does not work and it is not able to send the reconstructions to pacs.
Radiology-R.M.N. - Nuclear Magnetic Resonance - Body S.C. Radiology - Room: Control Room.",Does not send reconstructions to the Pacs,,,
Hardware,cannot burning CD,cannot burning CD,,,
Hardware,01/IntelliSpace IX/LX Workstations/Change PACS parameter,01/IntelliSpace IX/LX Workstations/Change PACS parameter,,,
Hardware,DVD writer of ISP client is not working,DVD writer of ISP client is not working,,,
Hardware,Wechat:SA:05K/IntelliSpace IX/LX Workstations/The optica,Wechat:SA:05K/IntelliSpace IX/LX Workstations/The optica,,,
Hardware,02N/IntelliSpace IX/LX Workstations/add printer,02N/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,05R/Brilliance Workspace Portal/Error,05R/Brilliance Workspace Portal/Error,,,
Hardware,05K/IntelliSpace IX/LX Workstations/add printer,05K/IntelliSpace IX/LX Workstations/add  printer,,,
Hardware,01/IntelliSpace IX/LX Workstations/consult dicom parameter,01/IntelliSpace IX/LX Workstations/consult dicom parameter,,,
Hardware,02N/IntelliSpace Portal Solutions/stand by,02N/IntelliSpace Portal Solutions/stand by,,,
Hardware,01/IntelliSpace IX/LX Workstations/Add Parameter,01/IntelliSpace IX/LX Workstations/Add Parameter,,,
Hardware,Image workstation CD writer not functioning,Image workstation CD writer not functioning,,,
Hardware,"Mirada - it was not possible to perform a ""print screen"" for documentation (improvement);",Mirada ? It was not possible to perform an ?print screen for documentation (improvement);,,,
Hardware,Keyboard is not functioning,Keyboard is not functioning,,,
Hardware,"Hi, we are changing from using a separate DynaCad server with local installed DynaCAD clients to using DynaCAd in ISP 12 instead.  
Therefore, we need help with the following issues:
Help with copying DDP's and importing them from the DynaCad server to an ISP12 server. 
We also need help with chose biopsy needles with the planning toll Dyna Loc.
We would even like to have support for the other settings that are not transferred automatically and must be configured by PK Profile Editor.",DynaCad Configuration in ISP 12,,,
Hardware,ISP disk free space is decreasing,ISP?Disk?????????????,,,
Hardware,Wechat:01/Extended Brilliance Workspace/Unable to burn disc,Wechat:01/Extended Brilliance Workspace/Unable to burn disc,,,
Hardware,05K/IntelliSpace IX/LX Workstations/add printer,05K/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,SA:05R/Extended Brilliance Workspace/Power up fail,SA:05R/Extended Brilliance Workspace/Power up fail,,,
Hardware,"Issue: Malfunction email Nico Euler Clinical Application Consultant SCS DACH /IntelliSpacePortal
Description of error: Via right mouse click on an MRT skull series, run processing - NeuroQuant process can be selected.

The process starts, hangs in the process for a very long time and ends with failed.

EQ ID: 60866908
Serial No.: 7001901

University Professor Elke Hattingen
Director Institute for Neuroradiology
University Medicine of the Goethe University Frankfurt
Schleusenweg 2-16
Frankfurt/Main",ISP12: NeuroQuant does not generate any reports,,,
Hardware,PROBLEM WITH THE DVD RECORDER,DVD recorder problem,,,
Hardware,Failure in recording DVD,DVD DVD Record,,,
Hardware,05R/EBW/Burn disk failure,05R/EBW/Burn disk failure,,,
Hardware,SA:05R/EBW/Burn disk failure,SA:05R/EBW/Burn disk failure,,,
Hardware,Quote for hard drive workstation,or?amento para HD workstation,,,
Hardware,05K/IntelliSpace Portal Solutions/add printer,05K/IntelliSpace Portal Solutions/add printer,,,
Hardware,02N/IntelliSpace IX/LX Workstations/can't power on,02N/IntelliSpace IX/LX Workstations/can not power on,,,
Hardware,05R/IntelliSpace Portal Solutions/DVD driver,05R/IntelliSpace Portal Solutions/DVD driver,,,
Hardware,EBW is not opening.,EBW A??,,,
Hardware,Workstation does not turn on,Workstation nao liga,,,
Hardware,The portal's mouse stopped working,The portal mouse stopped working,,,
Hardware,05R/Extended Brilliance Workspace/Main board failure,05R/Extended Brilliance Workspace/Main board failure,,,
Hardware,SA:05R/IntelliSpace IX/LX Workstations/RW DVD problem,SA:05R/IntelliSpace IX/LX Workstations/RW DVD problem,,,
Hardware,SA:OCAP:05R/IntelliSpace IX/LX Workstations/DVD RW error,SA:OCAP:05R/IntelliSpace IX/LX Workstations/DVD RW error,,,
Hardware,Escalation/IntelliSpace IX/LX Workstations,Escalation/IntelliSpace IX/LX Workstations,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,"Reported problem with server Philips Intellispace Portal (old) IT60327137.
Request if it can be turned off?

Location: Ecomedica.",Philips server problem reporting,,,
Hardware,05R/Extended Brilliance Workspace/burner fault,05R/Extended Brilliance Workspace/burner fault,,,
Hardware,Workflow server failed Error appearing in ISP System,Workflow server failed Error appearing in ISP System,,,
Hardware,Film printing is not happening,Film printing is not happening,,,
Hardware,THE DVD RECORDER HAS NOT BEEN WORKING FOR A FEW DAYS.,The DVD recorder is not working for a few days,,,
Hardware,05R/IntelliSpace Portal Solutions/hard disk fault,05R/IntelliSpace Portal Solutions/hard disk fault,,,
Hardware,CD/DVD writer not functioning,CD/DVD writer not functioning,,,
Hardware,THE WORKSTATION IS NOT RECORDING IMAGES TO DISK,Working is not recording the disk images,,,
Hardware,VIP-IMSS-CLIENT-INTERMITTENT FOR RECONSTRUCTION OF STUDIES. THE POST-PROCESSING SCREEN DOES NOT TURN ON.,VIP-IMSS-client-intermittent for the reconstruction of studies. The postprocess screen does not turn on.,,,
Hardware,05R/IntelliSpace Portal Solutions/mouse,05R/IntelliSpace Portal Solutions/mouse,,,
Hardware,01/IntelliSpace IX/LX Workstations/print failed,01/IntelliSpace IX/LX Workstations/print failed,,,
Hardware,Wechat:05R/IntelliSpace Portal Solutions/Noise during operation,Wechat:05R/IntelliSpace Portal Solutions/Noise during operation,,,
Hardware,Wechat:01/IntelliSpace IX/LX Workstations/film printing error,Wechat:01/IntelliSpace IX/LX Workstations/film printing error,,,
Hardware,"Hello. For a few days now, I have been unable to export the examinations to the USB key (procedure essential for us).
In fact, the USB keys are recognized by the system, but after having given the name to the peripheral, the system only writes a file in this peripheral and not also a file to make sure that the key is recognized in the devices. See attached images.
So I cannot copied an examination on the key.",USB key not available,,,
Hardware,"I have another case today where no bookmarks have saved and then it asked for a bug report when I went to save centrelines.
Thankfully I had already saved the images I needed so didn?t need to repeat all my work again. 
I created and uploaded the bug report for you to review next week.",No bookmarks saved and a bug report message came up when saving centre-lines,,,
Hardware,WeChat?SA:05R/IntelliSpace Portal Solutions/hard disk failure,WeChat?SA:05R/IntelliSpace Portal Solutions/hard disk failure,,,
Hardware,WeChat?SA:05R/Upgrades IntelliSpace Portal/ disk fault,WeChat?SA:05R/Upgrades IntelliSpace Portal/ disk fault,,,
Hardware,SA:05R/Extended Brilliance Workspace/nemo DVD burner,SA:05R/Extended Brilliance Workspace/nemo DVD burner,,,
Hardware,It is locking with a blue screen and displays an error,is crashing into a blue screen and the error,,,
Hardware,Cannot Burning/Reading Intermittently,Cannot Burning/Reading Intermittently,,,
Hardware,SA:05K for IB/IntelliSpace IX/LX Workstations/driver broken,SA:05K for IB/IntelliSpace IX/LX Workstations/driver broken,,,
Hardware,05R/IIntelliSpace IX/LX Workstations/Mouse fault,05R/IIntelliSpace IX/LX Workstations/Mouse fault,,,
Hardware,Burn disc issue,Burn disc issue,,,
Hardware,01/IntelliSpace IX/LX Workstations/add printer,01/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,CD drive not functioning,CD drive not functioning,,,
Hardware,Getting memory not available,Getting memory not available,,,
Hardware,"Hello

We can no longer burn images from ISCV. Can you look at the problem?

I am on vacation next week. Please contact me as from Monday 24/04.",ISCV - Saint -L? - Impossible to engrave,,,
Hardware,05R/Extended Brilliance Workspace/ printer failed,05R/Extended Brilliance Workspace/ printer failed,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/hard disk failure,SA:05R/IntelliSpace Portal Solutions/hard disk failure,,,
Hardware,SA:OCAP:05R/IntelliSpace Portal Solutions/can't power on,SA:OCAP:05R/IntelliSpace Portal Solutions/can not power on,,,
Hardware,CD writer is not functioning,CD writer is not functioning,,,
Hardware,05R/IntelliSpace Portal Solutions/need parts,05R/IntelliSpace Portal Solutions/need parts,,,
Hardware,05R/Extended Brilliance Workspace/DVD_RW,05R/Extended Brilliance Workspace/DVD_RW,,,
Hardware,05L/IntelliSpace IX/LX Workstations/stuck,05L/IntelliSpace IX/LX Workstations/stuck,,,
Hardware,ISP Mouse is not functioning,ISP Mouse is not functioning,,,
Hardware,Wechat:SA:05R/IntelliSpace IX/LX/burner fault,Wechat:SA:05R/IntelliSpace IX/LX/burner fault,,,
Hardware,05K/IntelliSpace IX/LX Workstations/app logout automatically,05K/IntelliSpace IX/LX Workstations/app logout automatically,,,
Hardware,Wechat:01/IntelliSpace IX/LX Workstations/Mouse fault,Wechat:01/IntelliSpace IX/LX Workstations/Mouse fault,,,
Hardware,"Twice Friday and yesterday suddenly nothing works anymore, server ""pinged"" but no examination available.
Forced to completely restart.",At times nothing works,,,
Hardware,05R/IntelliSpace IX/LX Workstations/MOUSE FAULT,05R/IntelliSpace IX/LX Workstations/MOUSE FAULT,,,
Hardware,Diana Wisler asked support on email requesting help to troubleshoot a new CS reports issue reported by the customer,CS Report crashes and server slowness episode - new incident,,,
Hardware,Printer is not functioning in ISP,Printer is not functioning in ISP,,,
Hardware,Keyboard is not functioning,Keyboard is not functioning and ISP system is hanging,,,
Hardware,05R/Extended Brilliance Workspace/DVD ROM damage,05R/Extended Brilliance Workspace/DVD ROM damage,,,
Hardware,CD writer not working,CD writer not working,,,
Hardware,05R/Upgrades IntelliSpace IX/LX WrkStns/need parts,05R/Upgrades IntelliSpace IX/LX WrkStns/need parts,,,
Hardware,VIP-CLIENT-SCREEN WITH AN EROR: THE SYSTEM FOUND A HARDWARE FAILURE,VIP-Client-Pantalla With Eror: The system found a hardware failure,,,
Hardware,05R/Portal/can't work,05R/Portal/can not work,,,
Hardware,"Yesterday, the power was off. The ISP started up when it came in this morning.>> ping was also possible, so I think it can be used.",01CS:KK:???????????ISP?????????????>>Ping?????????????????????????,,,
Hardware,User unable to power workstation up.,User unable to power workstation up,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,05R/IntelliSpace IX/LX Workstations/DVD rom damage,05R/IntelliSpace IX/LX Workstations/DVD rom damage,,,
Hardware,DVD write not functioning,DVD write not functioning,,,
Hardware,EBW is not functioning,EBW is not functioning,,,
Hardware,"Can you please help open a ticket with support to reboot the following servers?

MHSISPTST01 Philips ISP IntelliSpace Portal (Concerto)",Reboot Portal Test Server,,,
Hardware,Multiple errors in ISP,Multiple errors in ISP,,,
Hardware,CD recorder is not working.,CD label is not working.,,,
Hardware,Advance Vessel analysis - reports errors.,Advance Vessel analysis - reports errors.,,,
Hardware,THE BURNER IS NOT WORKING,The burner is not working,,,
Hardware,SA?05R/IntelliSpace IX/LX Workstations/system problem,SA?05R/IntelliSpace IX/LX Workstations/system problem,,,
Hardware,CD  writer is not functioning,CD  writer is not functioning,,,
Hardware,Mouse not working,Mouse not working,,,
Hardware,01/IntelliSpace IX/LX Workst/Add Printer,01/IntelliSpace IX/LX Workst/Add Printer,,,
Hardware,The station fails again. We need to restart the computer to restore it.,The station fails again. You have to restart the computer to restore.,,,
Hardware,Non-functional overfedch.,DOBUCCI prefetch,,,
Hardware,"BURNER FAILURE, IT DOES NOT RECOGNIZE THE CD'S AND IT IS DIFFICULT TO RECORD",Burner failure does not recognize the CDs and it is difficult to record,,,
Hardware,Wechat:SA:05R/Extended Brilliance Workspace/Workstation cannot start,Wechat:SA:05R/Extended Brilliance Workspace/Workstation cannot start,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/system power fault,SA:05R/IntelliSpace Portal Solutions/system power fault,,,
Hardware,02N/IntelliSpace Portal Solutions/Mouse malfunction,02N/IntelliSpace Portal Solutions/Mouse malfunction,,,
Hardware,Server is not functioning,Server is not functioning,,,
Hardware,WECHAT:05R/Extended Brilliance Workspace/Small EBW space,WECHAT:05R/Extended Brilliance Workspace/Small EBW space,,,
Hardware,DVD burning issue,DVD burning issue,,,
Hardware,Epson printer connected with PET-CT is not getting paper feed in printer not functioning,Epson printer connected with PET-CT is not getting paper feed in printer not functioning,,,
Hardware,OCAP:05R/IntelliSpace Portal Solutions/can't printe,OCAP:05R/IntelliSpace Portal Solutions/can not printe,,,
Hardware,CD not writing,CD not writing,,,
Hardware,MOUSE STOPPED WORKING,Mouse stopped working,,,
Hardware,IT DOES NOT BURN THE STUDIES,Does not burn studies,,,
Hardware,THERE IS NO SPACE IN THE LOCAL MEMORY AND IT IS NOT BECAUSE OF THE NUMBER OF STUDIES,There is no space in local memory and it is not for the amount of studies,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/need parts,SA:05R/IntelliSpace Portal Solutions/need parts,,,
Hardware,05R/Extended Brilliance Workspace/record fault,05R/Extended Brilliance Workspace/record fault,,,
Hardware,SA:05R/Extended Brilliance Workspace/monitor fault,SA:05R/Extended Brilliance Workspace/monitor fault,,,
Hardware,ISP not functioning,ISP not functioning,,,
Hardware,05R/IntelliSpace Portal Solutions/The client computer is broken,05R/IntelliSpace Portal Solutions/The client computer is broken,,,
Hardware,05R/IntelliSpace IX/LX Workstations/Display malfunction,05R/IntelliSpace IX/LX Workstations/Display malfunction,,,
Hardware,System has reached its capacity limitation in reporting PC,System has reached its capacity limitation in reporting PC,,,
Hardware,"Multi-batches, which are configured on the client, do not strike for all on the server. Mr. Euler configured on the client.",Multi-volume batch that is configured on the client does not hit the server for all of them,,,
Hardware,restart server,restart server,,,
Hardware,Jetpack Crashes on workstation,Jetpack Crashes on workstation,,,
Hardware,05R/IntelliSpace Portal Solutions/ port can't power on,05R/IntelliSpace Portal Solutions/ port can not power on,,,
Hardware,"- If Vue RIS is running, loading a study in DynaCAD returns an error message ""Data loading failed. The program is shutting down"".
- The problem only seems to be related to DyanCAD. Opening the same study in IntelliSpace MM viewer works fine
- When closing Vue RIS, DynaCAD works
- The problem does not occur on Windows 7 workstations

Check the client log files in the folder SIKT_uxsjar@PC450666 on the server for errors related to DynaCAD.",DynaCAD fail to open when Vue RIS is active on Windows 10 workstations,,,
Hardware,Replacement of AET for a scanner.,scanning problem,,,
Hardware,05R/Extended Brilliance Wo/film problem,05R/Extended Brilliance Wo/film problem,,,
Hardware,05R/IntelliSpace Portal Solutions/monitor malfunction,05R/IntelliSpace Portal Solutions/monitor malfunction,,,
Hardware,05R/Extended Brilliance Workspace,05R/Extended Brilliance Workspace,,,
Hardware,SA:05R/Extended Brilliance Workspace/monitor display fault,SA:05R/Extended Brilliance Workspace/monitor display fault,,,
Hardware,into,no monitoring in the ldr area,,,
Hardware,Print preview with burn-in image on the screen/ Mouse cursor and measure tool is not aligned on the ISP Server,Print preview with burn-in image on the screen/ Mouse cursor and measure tool is not aligned on the ISP Server,,,
Hardware,DVD writing not possible,DVD writing not possible,,,
Hardware,"Server problem and impossible to connect.
The radiologist cannot interpret the examination.",Request for support - ISP - Aubagne,,,
Hardware,plug in not working,plug in not working,,,
Hardware,01/IntelliSpace Portal Solutions/ISP cannot be printed,01/IntelliSpace Portal Solutions/ISP cannot be printed,,,
Hardware,Wechat:SA:02N/ISP/The terminal is broken.,Wechat:SA:02N/ISP/The terminal is broken.,,,
Hardware,Wechat:05R/EBW/can't print,Wechat:05R/EBW/can not print,,,
Hardware,05R/Extended Brilliance Workspace/keyboard and mouse fault,05R/Extended Brilliance Workspace/keyboard and mouse fault,,,
Hardware,CD writer is not functioning in EBW,CD writer is not functioning in EBW,,,
Hardware,Reporting console not functioning,Reporting console not functioning,,,
Hardware,01/IntelliSpace IX/LX Workstations/disk free space low,01/IntelliSpace IX/LX Workstations/disk free space low,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,WECHAT:05R/Extended Brilliance Workspace/display card fault,WECHAT:05R/Extended Brilliance Workspace/display card fault,,,
Hardware,VIP-THE DIRECTORY DOES NOT OPEN,VIP-No opens the Board of Directors,,,
