PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
3089537,Image Related,Imaging and Images,Image quality & artifacts,Images are misaligned,Artifacts on image,"Despite your intervention on 10.02, artifacts are still found on image.",A
3089757,Image Related,Imaging and Images,Image routing,Cannot route image,Image not transferring,Image not transferring,A
3089781,Image Related,Imaging and Images,Image routing,Cannot route image,Image failure,Image failure.,A
3089797,Image Related,Imaging and Images,Image routing,Cannot route image,Image failure,Image failure.,A
3090515,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Unable to pull images from pacs,Unable to pull images from pacs,A
3091226,Image Related,Imaging and Images,Image routing,Cannot route image,The images of the TAC do not arrive,Tac images are not arriving,A
3093590,Image Related,Imaging and Images,Image routing,Cannot route image,02N/IntelliSpace IX/LX Workstations/transfer,02N/IntelliSpace IX/LX Workstations/transfer,A
3097029,Image Related,Imaging and Images,Image routing,Cannot route image,ISP server check,"Customer reported that some studies failed to cross to PACS this morning. 
Behavior was no longer occurring but we were resquested to check on the server to make sure that everything was correct.",A
3097903,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",SA:05R/IntelliSpace Portal Solutions/image cannot open,SA:05R/IntelliSpace Portal Solutions/image cannot open,A
3097968,Image Related,Imaging and Images,Image routing,Cannot route image,SA:05R/Upgrades IntelliSpace Portal/Unable to process image,SA:05R/Upgrades IntelliSpace Portal/Unable to process image,A
3098555,Image Related,Imaging and Images,Image routing,Cannot route image,ISP12 cannot receive DICOM Helix from Siemens CT Scanner NAEOTOM Alpha,Cannot receive DICOM Helix from Siemens CT,A
3098922,Image Related,Imaging and Images,Image routing,Cannot route image,Send images of the portal to resonance,The service requests to create an access to be able to send the images from the portal to the resonance,A
3104778,Image Related,Imaging and Images,Image routing,Cannot route image,02N/IntelliSpace IX/LX Workstations/images transfer error,02N/IntelliSpace IX/LX Workstations/images transfer error,A
3105465,Image Related,Imaging and Images,Image routing,Cannot route image,01DS:KK:IQon??ISP???????????>>IQon??????????ISP????????????????,Cannot transfer images from IQon to ISP.>> transfer from IQon to other is possible.A red lamp is lit on the ISP slave server.,A
3107061,Image Related,Imaging and Images,Image routing,Image is slow or delayed,Slowness to increase the exams.,Request for parameters to correct the slowness retrieving data. Some examinations do not finish their transfer.,A
3107138,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",ISP12 AVA Editing vessels brings back into the image items that was originally removed with bone removal,into,A
3107140,Image Related,Imaging and Images,Image routing,Cannot route image,Transmission problem,The portal does not transmit the images on the portal.,A
3107266,Image Related,Imaging and Images,"Image acquisition, editing",Image anatomy incorrect or not as expected,ISP12 CT CCA new algorithm does not extract many vessels,into,A
3109026,Image Related,Imaging and Images,Image routing,Cannot route image,DE LA ESTACI?N DE TRABAJO ISP DE MI EQUIPO NO SALEN LAS IM?GENES NI AL PACS Y AL ?REA DE IMPRESI?N.,"FROM THE ISP WORKSTATION OF MY EQUIPMENT, THE IMAGES ARE NOT COMING OUT TO THE PACS AND THE PRINTING AREA.",A
3109741,Image Related,Imaging and Images,Image routing,Cannot route image,SA:01/IntelliSpace IX/LX Workstations/Flashback when processing images,SA:01/IntelliSpace IX/LX Workstations/Flashback when processing images,A
3110155,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to transfer images,Unable to transfer images,A
3111588,Image Related,Imaging and Images,Image routing,Cannot route image,Impossible to transfer images to Is Portal,"The IT department launched the batch of the office, this item corrected the access to the examinations from the customer but not the transfers.",A
3111841,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,"Displayed data incorrect, missing, inaccurate or imprecise",ISP12 MR Strain Images showing blank in Pdf report,Graph issue in strain,A
3112080,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",can't delet exam to process image for ROI,can't delet exam to process image for ROI,A
3124496,Image Related,Imaging and Images,Image routing,Cannot route image,Wechat?SA:05L/IntelliSpace IX/LX Workstations/Unable to retrieve image from pacs,Wechat?SA:05L/IntelliSpace IX/LX Workstations/Unable to retrieve image from pacs,A
3125593,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,"Displayed data incorrect, missing, inaccurate or imprecise",probl?me  d'acc?s,"Cannot open the examinations on the portal, opens the file, the images do not appear.",A
3130019,Image Related,Imaging and Images,Image routing,Cannot route image,WeChat?OCAP:05R/IntelliSpace IX/LX Wor/Image transmission failure,WeChat?OCAP:05R/IntelliSpace IX/LX Wor/Image transmission failure,A
3130457,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to transfer images,Unable to transfer images,A
3130775,Image Related,Imaging and Images,Image routing,Cannot route image,SA:05R/Upgrades IntelliSpace Portal/images transfer to pacs failed,SA:05R/Upgrades IntelliSpace Portal/images transfer to pacs failed,A
3134518,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/pacs problem,05R/IntelliSpace IX/LX Workstations/pacs problem,A
3141157,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",05K/IntelliSpace IX/LX Workstations/cann't delete  image,05K/IntelliSpace IX/LX Workstations/cann't delete image,A
3142542,Image Related,Imaging and Images,Image Quality degradation,Incorrect pixel data due to wrong compression operation(data compression),Pb qualit? image,"When retrieving images on the PACS, the images arrive degraded and cannot be read on the console even though they were on the PACS.",A
3144827,Image Related,Imaging and Images,Image routing,Cannot route image,No one can send images to the Portal,No one can send images to the Portal,A
3163253,Image Related,Imaging and Images,Image routing,Cannot route image,ISP 1 have issue to send images.,"User 1shw in ISP 1 has an issue with sending images to PACS and other locations. He is not able to send at all.

If more details are needed, please call Daniel Martin 08-12378088",A
3172769,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/Image transmission failure,05R/IntelliSpace IX/LX Workstations/Image transmission failure,A
3203913,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Study image will not load only going up to 80 percent,Study image will not load only going up to 80 percent,A
3204594,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/Image transmission failure,05R/IntelliSpace IX/LX Workstations/Image transmission failure,A
3204711,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",RMSE?02N/IntelliSpace IX/LX Workstations/image fault,RMSE?02N/IntelliSpace IX/LX Workstations/image fault,A
3205004,Image Related,Imaging and Images,Image routing,Cannot route image,05K/IntelliSpace IX/LX Workstations//can not retrieve image from other nodes,05K/IntelliSpace IX/LX Workstations//can't retrieve image from other nodes,A
3205053,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",01/IntelliSpace IX/LX Workstations/cann't delete  the image,01/IntelliSpace IX/LX Workstations/cann't delete the image,A
3205213,Image Related,Imaging and Images,Image routing,Image is slow or delayed,Slowdown in the ISP,"Problem with the MRI, the ISP will take time to load the examinations and scroll through the sequences.

Obstructs the interpretation.",A
3210501,Image Related,Imaging and Images,Image routing,Study migration and/or migration filters are incorrect or missing,Multibatch with AVA studies,Original multibatches are not working on studies at Samaritan. It works on images from one scanner but not the other scanner,A
3211165,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",01/IntelliSpace IX/LX Workstations/Image cannot be opened,01/IntelliSpace IX/LX Workstations/Image cannot be opened,A
3211600,Image Related,Imaging and Images,Image routing,Cannot route image,He cannot send images,On the workstation it reconstructs images but it is not able to send.,A
3211917,Image Related,Imaging and Images,Image routing,Image is slow or delayed,The data is extremely slow.,"Issue: Malfunction
Error description: ID 45401841 NONE ATTENTION: Sales order number and line item is missing on the IP. This will affect cost settlement on installation cases. Have this rectify with the installed base administrator before proceeding.
Transmission of the data is extremely slow. Request for check.",A
3213034,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,"Displayed data incorrect, missing, inaccurate or imprecise","ISP12 XD3 Nuclear Medicine (Mirada) save range creates n independent images, not one series with n images",into,A
3213665,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to transfer image and Getting storage full,Unable to transfer image and Getting storage full,A
3213909,Image Related,Imaging and Images,Image routing,Study migration and/or migration filters are incorrect or missing,NMViewer incident - issue to launch series in PACS integration,customer reported an issue to launch 2 series from 2 different studies at same time in NMViewer,A
3214934,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",ISP12 MR Cardiac doesn't load data from Siemens created by protocol for restless patient.,"a. Siemens data when patient is restless they do 2 types of studies
b. SAX INTP (interpolated data which is gated but will not load)
c. Cine phase real time SAX that will load but not sure if they are getting true values since it is not gated",A
3216029,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",01/IntelliSpace IX/LX Workstations/image open slow,01/IntelliSpace IX/LX Workstations/image open slow,A
3216610,Image Related,Imaging and Images,Image routing,Cannot route image,Intermittent issue with transferring images Dynacad between ISP,Intermittent issue with transferring images Dynacad between ISP. See an email for more detailed info.,A
3218045,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",ISP12 AVA no longer have tools for update vessel on volume which were available in ISP10,into,A
3218395,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",ISP12: AVA unlike in ISP10 user can't add stent pieces and missing vessels back to the VR image,into,A
3219930,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",ISP12: AVA Add vessel by seed doesn't work consistently,into,A
3220984,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",01/IntelliSpace IX/LX Workstations/can not delete images,01/IntelliSpace IX/LX Workstations/can't delete images,A
3221759,Image Related,Imaging and Images,Image routing,Cannot route image,Image Transfer Problem,Image Transfer Problem,A
3222276,Image Related,Imaging and Images,Image routing,Image is slow or delayed,Image transfer problem,Problem transferring images because images are slow to arrive.,A
3222750,Image Related,Imaging and Images,Image routing,Cannot route image,ISP - Toulouse - Data transfer problem since MRI,Problem transferring from the MRI to the console.,A
3224194,Image Related,Imaging and Images,Image routing,Cannot route image,error exams,The examinations sent from the IQON scanner are in erreus on the ISP.,A
3224307,Image Related,Imaging and Images,Image routing,Cannot route image,"ISP - CROLLES - The images no longer pass, transfers on the way.","All the images fail, so impossible to interpret these last ones.",A
3224861,Image Related,Imaging and Images,Image quality & artifacts,Images are misaligned,Artifact in the image.,Artifact in the image.,A
3227807,Image Related,Imaging and Images,Image routing,Cannot route image,01CS:KK:ISP???????????????ISP?????????????User??????????????????????,"Image transfer from ISP is stopped.He would like to restart the ISP server, but he does not know the user name and password, so he would like to know it.",A
3228328,Image Related,Imaging and Images,Image routing,Cannot route image,The images to the PACS do not pass after rebuilding them,Images are not being passed to PACS after reconstructing them.,A
3230098,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Ongoing iss from previous case 0121387760 Study image will not load only going up to 80 percent.  Saying data...,"Ongoing iss from previous case 0121387760 Study image will not load only going up to 80 percent.  Saying data loading failed, application will exit.",A
3231786,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/transfer,05R/IntelliSpace IX/LX Workstations/transfer,A
3232234,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/transfer,05R/IntelliSpace IX/LX Workstations/transfer,A
3237753,Image Related,Imaging and Images,Image routing,Cannot route image,Images are not sending over to vendor,Images are not sending over to vendor,A
3238750,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to transfer data and automatically shutting down,Unable to transfer data and automatically shutting down,A
3239397,Image Related,Imaging and Images,Image routing,Cannot migrate study and/or migration filters,transfer problem,Problem transferring images to the PACS.,A
3239504,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,Image is slow or delayed,"Image slowdown problem,","Problem with slow-down of image, not fluid since the time change, during the night from Saturday to Sunday, interpretation problem, disabling to work",A
3245899,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Not carries images,It does not load the images,A
3247125,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Orientation tools do not work smoothly in AVA,"The customer was using bounding box and when clicking on the tools or using the keyboard Shortcuts (A,S,C) was unable to get the images to change direction.",A
3247613,Image Related,Imaging and Images,Image routing,Cannot route image,0902CFXXXS09 having issue sending images to doctor's wks,having issue sending images to doctor's wks,A
3247680,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,"Displayed data incorrect, missing, inaccurate or imprecise",ISP10 AVA Batching - image number is incorrect.,Batching in AVA - image number is incorrect,A
3249283,Image Related,Imaging and Images,Image routing,Cannot route image,02N/IntelliSpace IX/LX Workstations/images transfer error,02N/IntelliSpace IX/LX Workstations/images transfer error,A
3252582,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",image issue,image issue,A
3255214,Image Related,Imaging and Images,Image routing,Cannot route image,"For a few days now, the Q/R from the PACS has not worked","Issue: Malfunction
Description of malfunction: 
For several days, the retrieval of images from PACS to the ISP does not work anymore despite restart:
""Study query for device Infinitt-PACS failed""
On the other hand, images from the CT device can be imported without problems.
Customer is asking for help.",A
3258334,Image Related,Imaging and Images,Image quality & artifacts,Images are misaligned,"MAGIC GLASS - using this tool in the CT Viewer, it moves in a different way than the image is under display","MAGIC GLASS - using this tool in the CT Viewer, it moves in a different way than the image is under display",A
3258339,Image Related,Imaging and Images,"Image acquisition, editing",Image anatomy incorrect or not as expected,Duplicate of 3347766,"MAGIC GLASS - using this tool in the CT Viewer, we adjusted the image, and when sending to the film it cuts the structure",A
3260235,Image Related,Imaging and Images,Image routing,Cannot route image,Imaging problems to diagnostic platform,"Problems to upload the image to the diagnostic platform.
IP: 62369422",A
3262648,Image Related,Imaging and Images,Image routing,Cannot route image,"Pictures and series do not come over from Intellispace to Pacs, when one brings UTH",Images and series don't come over from Intellispace to PACS when you use Jump. This applies to perfusion series.,A
3265750,Image Related,Imaging and Images,Image routing,Cannot route image,CONTACTEL  01/04/2023 10:06:04,"The image transfer from the MRI and the scanner to the ISP server does not work even when manually pushing the images, there is no transfer.
The doctors no longer have access to the images.",A
3266458,Image Related,Imaging and Images,Image routing,Cannot route image,EBW 2 Unable to transfer images,EBW 2 Unable to transfer images,A
3267500,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",Link for picked point not working to correlate images on Intelli space Portal,Link for picked point not working to correlate images on Intelli space Portal,A
3267803,Image Related,Imaging and Images,Image routing,Image is slow or delayed,Upon opening of the exam only 50% and then stops,"The system is slow and blocks loading the images, at the opening of the opening it opens only 50% and then it stops. 

It must be restarted continuously.

Location: ground floor nuclear medicine.",A
3269276,Image Related,Imaging and Images,Image routing,Cannot route image,Only processing 3 images instead of 4,Only processing 3 images instead of 4,A
3270438,Image Related,Imaging and Images,Image routing,Cannot route image,Wechat?01/IntelliSpace IX/LX Workstations/images transfer error,Wechat?01/IntelliSpace IX/LX Workstations/images transfer error,A
3277303,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",It is very slow in opening images and loading of the application.,It is very slow in opening images and loading the application.,A
3281468,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to transfer images to ISP system,Unable to transfer images to ISP system,A
3288460,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",GIRINTI cannot be deleted,Images cannot be deleted.,A
3288965,Image Related,Imaging and Images,Image routing,Cannot route image,Image Transfer Problem,Image Transfer Problem,A
3306826,Image Related,Imaging and Images,Image routing,Cannot route image,SA?05R/IntelliSpace Portal Solutions/Unable to transmit image,SA?05R/IntelliSpace Portal Solutions/Unable to transmit image,A
3308937,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",01/IntelliSpace IX/LX Workstations/cann't print  image,01/IntelliSpace IX/LX Workstations/cann't print image,A
3308942,Image Related,Imaging and Images,"Missing,wrong or incorrectly presented image information on the image",Diagnostic Viewing and Reporting,AVW15 MR-Cardiac Patient Name doesn't show on the image,into,A
3310404,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",AVW15 Autoquant user can't run manual processing with Cannon PET/CT data,into,A
3312969,Image Related,Imaging and Images,"Image acquisition, editing",Image anatomy incorrect or not as expected,PACS saturated images,PACS saturated images,A
3318448,Image Related,Imaging and Images,Image routing,Cannot route image,Image problems that do not go back,"Images do not go through on ISP, the doctor cannot interpret the examinations, recurring problem, needs to be called back.",A
3320641,Image Related,Imaging and Images,Image quality & artifacts,Images are misaligned,The resolutions in ISP is not the same as the modality. There is a granular loss in image quality.,The resolutions in ISP is not the same as the modality. There is a granular loss in image quality.,A
3323795,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Images are not opening in ISP,Images are not opening in ISP,A
3325070,Image Related,Imaging and Images,Image routing,Cannot route image,Instability on ISP,"Instability on the ISP, last two months every week when processing CT imagens are not going across, PET having issues with buttons. Dcs. no able to launch AutoQuant.",A
3328272,Image Related,Imaging and Images,Image routing,Cannot migrate study and/or migration filters,Images are not copying to CD or pen drive,Images are not copying to CD or pen drive,A
3329946,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",ISP12 SBI PreProcessing hangs in queue manager,Preprocessing always hangs,A
3333090,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/images transfer to pacs failed,05R/IntelliSpace IX/LX Workstations/images transfer to pacs failed,A
3336631,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",02N/IntelliSpace Portal Solutions/Image quality issues,02N/IntelliSpace Portal Solutions/Image quality issues,A
3341876,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",05R/Upgrades IntelliSpace IX/LX WrkStns/Unable to remove bone,05R/Upgrades IntelliSpace IX/LX WrkStns/Unable to remove bone,A
3342788,Image Related,Imaging and Images,Image routing,Cannot route image,ISP1 can not send images to PACS.,Images can't be send to PACS.,A
3346415,Image Related,Imaging and Images,Image routing,Cannot migrate study and/or migration filters,Images are not pushing from isp to mri main system,Images are not pushing from isp to mri main system,A
3347172,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",ISP12 CT-Viewer when using Magic glass and zoom in and out the squared image doesn't match the image behind,into,A
3347766,Image Related,Imaging and Images,"Image acquisition, editing",Image anatomy incorrect or not as expected,ISP12 CT-Viewer when placing magic glass on image and sending to film the magic glass move to other aria on the image,into,A
3348507,Image Related,Imaging and Images,Image routing,Cannot route image,Image not transferring from main console to workstation,Image not transferring from main console to workstation,A
3348587,Image Related,Imaging and Images,Image routing,Cannot route image,Images are not transferred  in ISP,Images are not transferred  in ISP,A
3351993,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Wechat?05R/ISP/retrieve image fail,Wechat?05R/ISP/retrieve image fail,A
3357076,Image Related,Imaging and Images,Image routing,Cannot route image,Cant receive images or send data,Cant receive images or send data,A
3363729,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",compress images on their Lung SPECT,compress images on their Lung SPECT,A
3365596,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",ISP12 Customer claim that CT images looks different than in the CT Scanner,into,A
3367384,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",ISP is not shown in diagnostic monitors,ISP is not displayed in diagnostic monitors.,A
3369323,Image Related,Imaging and Images,Image routing,Cannot route image,SA:05K/IntelliSpace Portal Solutions/Background image transmission loss,SA:05K/IntelliSpace Portal Solutions/Background image transmission loss,A
3374503,Image Related,Imaging and Images,Image routing,Cannot route image,Problem recall exams from modality resonance,"The system performs the query of the examinations to the mode but does not carry out the retrial of the images.
It also fails the sending of the images from RMN directly to the post.",A
3374666,Image Related,Imaging and Images,Image routing,Image is slow or delayed,Proportion from Rodenkirchen ISP to the local Pacs very slowly.,"Issue: Malfunction
Error description: Transmission from Rodenkirchen ISP to local PACS is very slow.

System is part of Concerto:
SysID: 80466533

SN: 7000374

ISP in Rodenkirchen is affected:
SysID: 79050138
SN: 701823",A
3381151,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to transfer image,Unable to transfer image,A
3389251,Image Related,Imaging and Images,Image routing,Cannot route image,Dynacad image opens half,"Dear Willem,

We have again a problem with the display of Dynacad.
The known bug that was present since the beginning is still there (image only opens half), but also minimize and maximize back does not work currently anymore.
So we only get a part of Dynacad visible and cannot do the processing...
Could you solve this?

Thanks in advance,
And kind regards,
Dr. Annemieke Milants
Medical and Molecular Imaging
VITAZ",A
3390240,Image Related,Imaging and Images,Image routing,Cannot route image,Unable to transfer image,Unable to transfer image,A
3391908,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",BHU20 - ISP-NOT LOADING ANY IMAGES - CRITICAL ISSUE,"We cannot see any studies in ISP - application seems unresponsive and takes long time to respond 

sample details below - patient waiting for report - please support on urgent basis",A
3392938,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",ISP12 AVA after upgrading from ISP11 it start show Bug report error during processing.,Bug report error during AVA processing,A
3394318,Image Related,Imaging and Images,Image routing,Cannot route image,WeChat?SA:05L/IntelliSpace IX/LX Workstations/cann't  transfer  image,WeChat?SA:05L/IntelliSpace IX/LX Workstations/cann't transfer image,A
3394614,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete","ISP12 Unlike in ISP11, Saved results file from CT Viewer can't be loaded in AVA",into,A
3394747,Image Related,Imaging and Images,Image routing,Image is slow or delayed,01/IntelliSpace Portal Solutions/image transfer slow,01/IntelliSpace Portal Solutions/image transfer slow,A
3395715,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",ISP12: AVA when bookmark of manually bone removal case is loaded it force manual reprocess then crash.,into,A
3395961,Image Related,Imaging and Images,Image routing,Image is slow or delayed,Images are sent to the ISP very slowly,"Issue: Malfunction
Error description: Images are sent to the ISP very slowly
Error message:-
Error occurred on: 11.05.23",A
3396207,Image Related,Imaging and Images,Image routing,Cannot route image,They have images that do not pass to the radiogogen portal.,"It is a specific study that the radiologist has tried to retrieve in the IsP from pacs in Malaga and only one of the 6 series of the study is visible in the Portal.
Location: Ctro. Scanner Malaga",A
3396745,Image Related,Imaging and Images,Image routing,Cannot route image,"This device is DOWN because the IMAGES are NOT crossing over to the WORKSTATION, and the WORKSTATION will NOT reboot","This device is DOWN because the IMAGES are NOT crossing over to the WORKSTATION, and the WORKSTATION will NOT reboot",A
3403932,Image Related,Imaging and Images,Image routing,Cannot route image,GIR?NT? GInderim Problem,Image sending problem,A
3405427,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",WeChat?05R/IntelliSpace IX/LX Workstations/ images can not open,WeChat?05R/IntelliSpace IX/LX Workstations/ images can't open,A
3408877,Image Related,Imaging and Images,Image routing,Cannot route image,02N/IntelliSpace IX/LX Workstations/images transfer error,02N/IntelliSpace IX/LX Workstations/images transfer error,A
3409958,Image Related,Imaging and Images,Image routing,Cannot route image,CONTACTEL   15/05/2023 13:53,"Does not receive the images because there is no authentication, there is an update to be done.",A
3416496,Image Related,Imaging and Images,Image routing,Cannot route image,01/ISP/image transfer to PACS Failed,01/ISP/image transfer to PACS Failed,A
3417537,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,Image keeps freezing or is frozen (not updating),request for assistance,"Malfunction occurred, impossible to load the examinations. 
No more access to the examinations and the mages freeze and the mouse does not respond anymore. 
Random failure and it comes back at times.",A
3418808,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,"Mapping or mapping coloration incorrect, missing, inaccurate or imprecise",Midstream ISP: Unable to process MRI cardiac exams,unbale to process T2 mapping on client workstation as they get a bug report. The customer has found a work around to log out of the thin client user and log in directly onto the server to post process the T2 Mapping. But then he can only do the post processing once. It does not allow any adjustments.,A
3419229,Image Related,Imaging and Images,"Image acquisition, editing",Image orientation incorrect or flipped,"EOS ""User are having trouble getting the image number positioned.""","EOS ""User are having trouble getting the image number positioned.""",A
3419853,Image Related,Imaging and Images,Image routing,Cannot route image,"Equipment is unable to receive images, even with established network communication.","Equipment is unable to receive images, even with network communication established.",A
3428144,Image Related,Imaging and Images,Image routing,Image is slow or delayed,Image transfer speed,Images slow to transfer from GE Cardiographe scanner to Philips Intellispace Portal holding up Radiologist/Cardiologist reporting.,A
3429238,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/transfer problem,05R/IntelliSpace IX/LX Workstations/transfer problem,A
3429463,Image Related,Imaging and Images,Image routing,Cannot route image,SA:06J/IntelliSpace Portal Solutions/Unable to transfer to workstation disc,SA:06J/IntelliSpace Portal Solutions/Unable to transfer to workstation disc,A
3430805,Image Related,Imaging and Images,Image routing,Cannot route image,NO LLEGAN LAS IMAGENES Y LAS MEDICIONES,THE IMAGES AND MEASUREMENTS DO NOT ARRIVE,A
3436334,Image Related,Imaging and Images,Image routing,Cannot route image,Not possible to send images to PACS,"Nothing happens when they send images from ISP2 to the PACS. In the queue message it shows ""waiting"".",A
3443111,Image Related,Imaging and Images,Loss of image/Lost image/ frozen image,"Displayed data incorrect, missing, inaccurate or imprecise",Urgent: Missing Pictures/Series from No1370 and No1378,Contact Dr. Derk Avenarius 77628406 for description.,A
3446235,Image Related,Imaging and Images,Image routing,Cannot route image,AVW 15 MR- Cardiac don?t send Key images to the Filmer-TFS-1557781,into,A
3446465,Image Related,Imaging and Images,Image routing,Cannot route image,02N/IntelliSpace IX/LX Workstations/add DICOM,02N/IntelliSpace IX/LX Workstations/add DICOM,A
3446518,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",ISP11 AVA bone added to the vessel viewport while using smart sculpting to correct bone removal in legs case,"Customer have issues with the target volume in CTA Legs. Customer comments:
I am getting issues every time I use the target volume in CTA Legs.  
In the image below I was trying to add in about 10cms of the popliteals and it has added this bone in as well.   
The case I did earlier in the day was even more frustrating.  There was also a piece of vessel that it would not sculpt back in, it did segment back in.",A
3453569,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",They are not visualized prior from HC in Portal,Previous ones are not displayed from HC in Portal.,A
3454973,Image Related,Imaging and Images,Image routing,Cannot route image,06CS: from: ??????????,Cannot send images to another company's server.,A
3456292,Image Related,Imaging and Images,Image routing,Image is slow or delayed,No images are loaded. T1 Mapping sequences are not recognized. Slowness,Images are not loaded. T1 Mapping sequences are not recognized. Slowness,A
3459518,Image Related,Imaging and Images,Image routing,Cannot route image,01/IntelliSpace IX/LX Workstations/images transfer error,01/IntelliSpace IX/LX Workstations/images transfer error,A
3463309,Image Related,Imaging and Images,Image routing,Cannot route image,ISP1 not able to send images to PACS,ISP1 not able to send images to PACS.,A
3467659,Image Related,Imaging and Images,Image routing,Cannot route image,Request for sending images,Request to send images from the new MRI to the portal.,A
3468021,Image Related,Imaging and Images,Image routing,Cannot route image,The doctors cannot import the images taken by the Pacs,The doctors cannot import the images taken from the PACS.,A
3475037,Image Related,Imaging and Images,Image routing,Cannot route image,"It is necessary to recharge the equipment of the equipment, but we need to rescue images that were acquired in a ...","WE NEED TO RELOAD THE EQUIPMENT SOFTWARE, BUT WE NEED TO RETRIEVE SOME IMAGES THAT WERE ACQUIRED IN A GAMMA CAMERA BRIGHTVIEW CONNECTED TO THE INTELLISPACE PORTAL. THAT CAMERA DOES NOT HAVE ANY OTHER NODE WHERE THOSE IMAGES CAN BE EXPORTED",A
3476360,Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",PACS integration with Intelerad PACS,"PACS integration with Intelerad PACS. It works but when saving new images, it defaults to the same PACS where the images came from and do not allow them to unselect the destination and select a new one.",A
