PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5496039,Complaint,AVW15LR3 Upgrade failure rollback - scheduled tasks removed by install are not restored,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",,,
5496310,Complaint,"Error Philips IntelliSpace Portal, The system does not work from radiology",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software Issues (e.g. bugs),
5496384,Complaint,The application gets stuck when printing.,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,,
5496431,Complaint,The Portal does not download images.,Image Related,Imaging and Images,Image routing,Cannot route image,Network - Communication,Network configuration issue,
5496460,Complaint,ISP Client Installation Doesn't Work,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Installation Issue,
5496812,Complaint,Modules for analysis are not available. Study query failed for the Local device,Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Server,Restart resolved,
5496852,Complaint,THE EQUIPMENT DOES NOT RECORD DVDs.,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,No problem found,
5497282,Complaint,need a list of domain group that are associated to the groups in ISP,Others,Non-Complaint,Non-Complaint,into,,,
5497356,Complaint,EBW - Trying to add a printer to the system.,Others,Duplicate Complaint,Duplicate Complaint,into,,,
5497434,Complaint,Workstation is slow,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,,,
5497543,Complaint,CTA,Others,Non-Complaint,Non-Complaint,into,,,
5497875,Complaint,install temporary license on ISP portal server to test the Calcium Score application for 60 days.,Others,Non-Complaint,Non-Complaint,into,,,
5498033,Complaint,01/Extended Brilliance Workspace/blue screen,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Interface or parts of interface not as expected or elements missing, not appearing on display",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5498052,Complaint,Wechat:05R/Extended Brilliance Workspace/DVD RW fault,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5498718,Complaint,"SA:05R/IntelliSpace IX/LX Workstations/The ISP workstation software cannot be opened, could not log on to ISP",Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Software,Software Issues (e.g. bugs),
5498761,Complaint,"IntelliSpace - Unable to transfer the images - Still issue not resolved, hence suspected issue with remote workstation",Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Not transmitting, receiving or transmission/receiving failed","Cannot transfer data to or from archive/ data storage/workstation (i.e. PACS, HIS-RIS, worklist)",,,
5498776,Complaint,05K/IntelliSpace Portal Solutions/client application,Others,Non-Complaint,Non-Complaint,into,,,
5498795,Complaint,01/IntelliSpace IX/LX Workstations/SW problem,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5498942,Complaint,ISP is not switching on,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Corrupt/Crashed,
5499280,Complaint,WeChat?SA:OCAP:05R/IntelliSpace Portal Solutions/Equipment relocation,Others,Non-Complaint,Non-Complaint,into,,,
5499299,Complaint,Client PC cannot login,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ICAP-Portal client,Resolved by SW Reinstall,
5499431,Complaint,Nessu's security scan detected vulnerabilities,Software,Privacy or security,Vulnerability,into,,,
5499542,Complaint,Problems installing software,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,,,
5499636,Complaint,02N/IntelliSpace IX/LX Workstations/User account changed,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Main Power Supply,"Power Cable - External damages (e.g. power spike, mechanical damages, part dropped, burned)",
5499707,Complaint,05R/ISP//ISP PC can't start,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Main Power Supply,Power failure,
5500091,Complaint,It is not possible to import and export to PACS.,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,Network - Communication,Customer Network issue,
5500095,Complaint,It does not open the application at all.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,Unable to determine cause - Technical foundation not established,
5500149,Complaint,"After the software upgrade, the key on the website cannot activate the software.",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),License/Certificate,License,
5500165,Complaint,cd writer not functioning in isp,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5500178,Complaint,Q&R does not work from Portal to MR4 of GE (10.35.15.240 / HRCMR5),Image Related,Imaging and Images,Image routing,Cannot route image,Configuration,Configuration Issues,
5500181,Complaint,Keyboard not functioning,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Mouse / Keyboard,
5500187,Complaint,The storage is full.,Others,Duplicate Complaint,Duplicate Complaint,into,,,
5500188,Complaint,"Urgent - CT's / MRI's studies are no longer displayed, regardless of the patient",Image Related,Imaging and Images,Cannot view or access image(s),into,Use Error,Other use error,
5500281,Complaint,Problems when installing a software,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,ICAP-System General,Usability - Workflow,
5500299,Complaint,MR study acc.num. It is not 4937901 to open the 4937901 in the MR Cardiac Suite.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software/Firmware Settings and Configuration,
5500435,Complaint,Unable to handle images and print reports,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,Network - Communication,Customer Network issue,
5500476,Complaint,Has a problem with the portal,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,,
5500613,Complaint,"For several patients, however, the sign functional LV and RV appears, for the other one it does not",Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Unable to Confirm/Replicate Allegation,Unable to determine cause - Technical foundation not established,
5500807,Complaint,Short Description : After login comes error Certificate error. Pls contact Hospital IT,Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate,
5500844,Complaint,Mouse not functioning,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Mouse / Keyboard,
5500867,Complaint,No disk space left,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)",Not detected,ICAP-Hardware,Disk Drive,
5501106,Complaint,"ISP v12- The New and Delete buttons are inactive in the PMT, I can't add new users.  How can I correct it in the browser",Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,ICAP-Portal Server,Resolved by Restart,
5501163,Complaint,Comparing doesn't open well on two screens.,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration,Configuration Issues,
5501300,Complaint,Storage space on the ISP server is almost full.,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Configuration,Configuration Issues,
5501729,Complaint,Evaluations are not sent to the PACS,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,,
5502195,Complaint,Customer was not able to print from their computer,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,Configuration,Configuration Issues,
5502202,Complaint,PHILIPS- THE ISSSTE BURNER DOES NOT WORK.,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5502301,Complaint,Server PSM00ISP1AP2 is unreachable to PRS system,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Configuration,Configuration Issues,
5502302,Complaint,THE SOFTWARE CANNOT CONTINUE BECAUSE THERE IS ANOTHER INSTANCE OF THE APPLICATION IN THE AXIS.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,User access,
5502562,Complaint,firewall is updated but its not staying updated/ need to use a qualified domain name,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5502764,Complaint,VIP-DAMAGED HARD DISK,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive,
5503006,Complaint,The multi-B value software installed on the workstation cannot be opened.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5503110,Complaint,Customer was unable to transfer images.,Image Related,Imaging and Images,Image routing,Cannot route image,Configuration,Configuration Issues,
5503147,Complaint,software hung,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Software,Software Issues (e.g. bugs),
5503277,Complaint,Client host cannot start,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5503342,Complaint,05K/IntelliSpace IX/LX Workstatio/consult ISP software update ns,Others,Non-Complaint,Non-Complaint,into,,,
5503414,Complaint,02N/ISP/Login failed,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Network - Communication,Customer Network issue,
5503447,Complaint,01/IntelliSpace IX/LX Workstations/upgrade,Others,Non-Complaint,Non-Complaint,into,,,
5503857,Complaint,ISP IS NOT FUNCTIONING,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software Issues (e.g. bugs),
5503864,Complaint,05R_107_03-5326151#3435_EBW_Failure to images be burned to disc.,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5503879,Complaint,unit is  not working,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",,,
5504020,Complaint,6600709771.01/assembly partner,Others,Non-Complaint,Non-Complaint,into,,,
5504181,Complaint,"On the profile of a doctor, everything is grayed out.",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Interface or parts of interface not as expected or elements missing, not appearing on display",Use Error,Other use error,
5504306,Complaint,02N/IntelliSpace IX/LX Workstations/add printer,Others,Non-Complaint,Non-Complaint,into,,,
5504431,Complaint,Error with Jetpack License,Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,,,
5504809,Complaint,ISP/DYNA CAD not working on the server,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Technical foundation not established,
5504856,Complaint,ISP does not return studies to the Q&R and it is not able to filter by date in the patient directory.,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Use Error,Other use error,
5505045,Complaint,ISP system software update to version 12.1.10.,Others,Non-Complaint,Non-Complaint,into,,,
5505124,Complaint,Keyboard and Mouse not functioning,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Mouse / Keyboard,
5505381,Complaint,ISP13 MR Cardiac Suite Whole cardiac analysis does not open on IX system,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,,
5505413,Complaint,PROBLEM WITH CD PLAYER,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Non-Philips Product/ Accessories,Non- Philips Product,
5505530,Complaint,0902CDT70S09   Not booting,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Main Power Supply,Power Cable - Component Failure,
5505533,Complaint,Unable to use application (similar to case 0124648168 from 2024-11-28),Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Configuration,Configuration Issues,
5505820,Complaint,"Slices error, rebuild message appears on the system",Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Database,Database Full/Corrupt,
5505929,Complaint,ES101571-001-002 - The users cannot login in Philips Portal (any user),Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ICAP-Portal Server,Resolved by Restart,
5506208,Complaint,It works slowly and there is little storage space.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Confirmed,Restart resolved,
5506481,Complaint,Start-up problem,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Server,Restart resolved,
5506545,Complaint,ISP system software update to version 12.1.10.,Others,Non-Complaint,Non-Complaint,into,,,
5506654,Complaint,"No storage, it was not possible to store the reconstructed data from the ISP in SectraPACS",Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Software,Software Issues (e.g. bugs),
5506824,Complaint,"when logging into client  seeing authentication  source is missing , getting red X on certificate",Software,Alarms or Messages,"Audio alarm and/or visual alarm or message (No alarm, intermittent, continuous, false, hard to see, delayed)",Error/Warning Message or error code,,,
5506837,Complaint,reboot server questions,Others,Non-Complaint,Non-Complaint,into,,,
5507318,Complaint,The new scanner need to be connected to the server.,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",ICAP-System General,Usability - Workflow,
5507424,Complaint,REF: 0124461408 // The new scanner need to be connected to the server.,Others,Non-Complaint,Non-Complaint,into,,,
5507757,Complaint,Single user/workstation unable to login after WS rebuild,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Configuration,Configuration Issues,
5507812,Complaint,Knowledgescape not working on server running ISP v12.1.5,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,,
5507943,Complaint,01/IntelliSpace Portal Solutions/Workstation cannot be used,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,,
5507953,Complaint,Workstation cannot be opened.,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5507962,Complaint,The ISP client can not connect to service,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Network - Communication,Customer Network issue,
5507967,Complaint,02N/IntelliSpaceIX/LXWorkstations/Ask for info,Others,Non-Complaint,Non-Complaint,into,,,
5508057,Complaint,05R/IntelliSpace IX/LX Workstations/Software fault,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software Issues (e.g. bugs),
5508129,Complaint,complaint/Upgrades IntelliSpace Portal/Debt issue,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Non-Philips Product/ Accessories,Non- Philips Product,
5508163,Complaint,08CS:YM:ISP I can't log in with my usual user and password.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Use Error,Other use error,
5508202,Complaint,05r/IntelliSpace Portal Solutions/monitor flash,Hardware,Displays & Monitors,Monitor/display has incorrect coloring (discoloration) or not as expected,into,ICAP-Hardware,Monitor,
5508389,Complaint,OCAP:05R/IntelliSpace Portal/Software fault,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Confirmed,Restart resolved,
5508425,Complaint,Image transmission failure,Image Related,Imaging and Images,Image routing,Cannot route image,Server,Restart resolved,
5508770,Complaint,user did not copy images from PACS to MR host.,Image Related,Imaging and Images,Image routing,Cannot route image,Configuration,Configuration Issues,
5508842,Complaint,05R/IntelliSpace IX/LX Workstations/crash,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,,
5509026,Complaint,ISP - Bergerac - The device displays a message.,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,ICAP-CT Calcium Scoring,Functional - Performance,
5509122,Complaint,05R/Upgrades IntelliSpace Portal/client log in issuse,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Software,Software Issues (e.g. bugs),
5509146,Complaint,Images are not sent.,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Unable to Confirm/Replicate Allegation,No problem found,
5509331,Complaint,ISP system software update to version 12.1.10.,Others,Non-Complaint,Non-Complaint,into,,,
5509388,Complaint,Visualization preferences were lost on Intellispace.,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration,Configuration Issues,
5509426,Complaint,6600666161.02/assembly partner,Others,Non-Complaint,Non-Complaint,into,,,
5509506,Complaint,"User at Akershus, Nordbyhagen can not logon into Intellispace",Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Use Error,Other use error,
5509625,Complaint,Enhancement Request_Customer would like to window MR images from an ROI,Others,Non-Complaint,Enhancement Request,into,,,
5509646,Complaint,CT comparison does not display new vs. old in a way that meets industry standard,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",,,
5509684,Complaint,No more disk space.,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5509696,Complaint,assembly partner,Others,Non-Complaint,Non-Complaint,into,,,
5509698,Complaint,image process failed,Image Related,Imaging and Images,Image routing,Cannot route image,Use Error,Other use error,
5509730,Complaint,ISP workstation CD Drive not functioning,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Configuration,Configuration Issues,
5509827,Complaint,Sofware corrupted and Storage full error,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Software,Software Issues (e.g. bugs),
5509952,Complaint,Repeated access failures,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,No problem found,
5510090,Complaint,ISP system software update to version 12.1.10.,Others,Non-Complaint,Non-Complaint,into,,,
5510304,Complaint,ISP memory was running full,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5510352,Complaint,The IntelliSpace Portal does not open. Can't access the system,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Network - Communication,Network configuration issue,
5510520,Complaint,Server 61714048 full memory.,Others,Duplicate Complaint,Duplicate Complaint,into,,,
5510595,Complaint,ISP- Albi - Loss of performance of the server.,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,ICAP-Portal Server,Resolved by SW Reinstall,
5510880,Complaint,Commercial support,Others,Non-Complaint,Non-Complaint,into,,,
5511088,Complaint,Strong displacement between the DTI and the anatomical sequence for cranial studies (Examples: 'Accession Number',Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Software,Failure on import/exports,
5511155,Complaint,ISP - Echirolles - Images in the middle of the screen with assignment option.,Image Related,Imaging and Images,Cannot view or access image(s),into,Configuration,Configuration Issues,
5511230,Complaint,"IT IS REQUIRED TO ACTIVATE THE EXPORT TO OPTION, WHICH DOES NOT HAVE THE EQUIPMENT AT THE MOMENT.",Software,"Software, OS or firmware","Greyed out item on software interface, cannot click item on interface, or not available",into,Use Error,Other use error,
5511315,Complaint,The customer was not able to access ISP servers to replace Rapid7 by QualysCloudAgent.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Use Error,Other use error,
5511343,Complaint,windows 11 support questions,Others,Non-Complaint,Non-Complaint,into,,,
5511376,Complaint,RE: Alfa Scan Tagmoaa ISP issue,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ICAP-Hardware,Computer,
5511396,Complaint,"Unfortunately, there is another failure of the AVW servers at the UKB",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,,
5511692,Complaint,THE INTERPRETATION ROOM DOES NOT ALLOW MEASUREMENTS OF ANATOMICAL STRUCTURES,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5511862,Complaint,This device is DOWN customer CANNOT log on,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Network - Communication,Customer Network issue,
5511904,Complaint,cx needs the send destination changed,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,ICAP-System General,Usability - Workflow,
5511939,Complaint,isp not sending images queue incorrect,Image Related,Imaging and Images,Image routing,Cannot route image,,,
5512034,Complaint,needs to move the portal server,Others,Non-Complaint,Non-Complaint,into,,,
5512219,Complaint,"needs to install a high priority patch, need to know how to do it",Others,Non-Complaint,Non-Complaint,into,,,
5512245,Complaint,Issues sending to PACS from ISP / AVW,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Configuration,Configuration Issues,
5512397,Complaint,CT can't transfer images to ICAP,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Software,Software malfunction,
5512429,Complaint,05R/Brilliance Workspace Portal/can not power on,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Computer,
5512460,Complaint,05R/Extended Brilliance Workspace/PACS image cannot be returned,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Configuration,Configuration Issues,
5512576,Complaint,05K/IntelliSpaceIX/LXWorkstations//Ask for info,Others,Non-Complaint,Non-Complaint,into,,,
5512742,Complaint,Transfer images failed intermittently.,Image Related,Imaging and Images,Image routing,Cannot route image,Software,Software Issues (e.g. bugs),
5512757,Complaint,"02N_142_CT_ISP IX_1. GE T1 Native images, and Post-contrast images can not process our ISP T1 mapping 2. GE LGE...",Image Related,Imaging and Images,"Image acquisition, editing","Cannot add, edit or delete",,,
5512762,Complaint,"02N_142_CT_ISP IX_ISP Clearread function, Only Administrator User can open the Clearread, other user account cannot...",Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,,,
5512790,Complaint,OCAP:05R/IntelliSpace Portal Solutions/Software fault,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),License/Certificate,License,
5512942,Complaint,05K/IntelliSpace Discovery/SW Problem,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,,
5513022,Complaint,driver was broken,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5513102,Complaint,05R/IntelliSpace IX/LX Workstations/can not transfer to PACS correctly,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,Configuration,Configuration Issues,
5513134,Complaint,Isp not responding to commands,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Network - Communication,Customer Network issue,
5513340,Complaint,DICOM store disrupted,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,,
5513411,Complaint,The software would not open and it did not allow to access the software,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Compatibility,Third Party SW Not Compatible,
5513509,Complaint,"In the workstation, the Portal button is not active",Software,"Software, OS or firmware","Greyed out item on software interface, cannot click item on interface, or not available",into,Unable to Confirm/Replicate Allegation,No problem found,
5513512,Complaint,CD writer not functioning,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5513552,Complaint,"This device is DOWN because I CANNOT log on. However, the EOL/EOS have ALL expired",Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,Unable to determine cause - Insufficient information,
5513647,Complaint,"System not Switching ON, ISP PC was not booting up. Red blinking Power LED was there",Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Computer,
5513744,Complaint,Server has full memory.,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Configuration,Configuration Issues,
5513755,Complaint,The customer had 10 ISP workstations but unable to log in all,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Use Error,Other use error,
5513763,Complaint,Slowness when working with the application,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Software Issues (e.g. bugs),
